trial_type,trial_index,time_elapsed,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,screen_id,angle,radius,distribution,choice,correct
canvas-keyboard-response,419,3827512,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,711,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,424,3830362,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1248,u,learn,learn_trial,25.9271,66.4405,in,1,1
canvas-keyboard-response,429,3832712,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,752,i,learn,learn_trial,40,100,out,0,1
canvas-keyboard-response,434,3835249,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,940,i,learn,learn_trial,23.3333,50,out,0,1
canvas-keyboard-response,439,3837536,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,682,u,learn,learn_trial,22.9268,81.5052,in,1,1
canvas-keyboard-response,444,3841304,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,2169,u,learn,learn_trial,26.8705,67.9635,in,1,1
canvas-keyboard-response,449,3843777,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,876,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,454,3846233,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,852,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,459,3848610,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,778,u,learn,learn_trial,25.4027,66.0815,in,1,1
canvas-keyboard-response,464,3850961,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,750,i,learn,learn_trial,23.3333,100,out,0,1
canvas-keyboard-response,469,3853208,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,649,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,474,3855545,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,742,i,learn,learn_trial,36.6667,70,out,0,1
canvas-keyboard-response,479,3857881,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,732,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,484,3860218,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,734,i,learn,learn_trial,30,120,out,0,1
