participant,computer_number,exp_condition,trial_n,dens,jnds,line_len,distribution,key_resp,rt,resp,correct
100,2,left,1,0.0829257381666969,4.85,190,in,i,5.066345453262329,out,0
100,2,left,2,0.1240203278460704,9.45,238,in,i,2.136117696762085,out,0
100,2,left,3,0.0444444444444444,8.91,232,out,u,0.9347286224365234,in,0
100,2,left,4,0.0444444444444444,15.36,317,out,u,1.4856657981872559,in,0
100,2,left,5,0.0309789513888337,11.36,261,in,u,0.7680556774139404,in,1
100,2,left,6,0.1471655268705283,5.94,200,in,u,0.8268542289733887,in,1
100,2,left,7,0.0444444444444444,18.13,363,out,i,0.6328794956207275,out,1
100,2,left,8,0.0444444444444444,7.65,218,out,u,0.9178428649902344,in,0
100,2,left,9,0.0444444444444444,0.15,151,out,i,2.054361343383789,out,1
100,2,left,10,0.0444444444444444,17.14,346,out,i,0.7823050022125244,out,1
100,2,left,11,0.1270407608337813,5.6,197,in,u,0.6642613410949707,in,1
100,2,left,12,0.0444444444444444,12.67,278,out,u,1.3620929718017578,in,0
100,2,left,13,0.141359739671713,9.16,235,in,u,0.6270558834075928,in,1
100,2,left,14,0.0444444444444444,7.79,219,out,u,0.830852746963501,in,0
100,2,left,15,0.0444444444444444,3.51,178,out,i,1.345475196838379,out,1
100,2,left,16,0.1990678032240969,7.63,218,in,u,0.6809208393096924,in,1
100,2,left,17,0.183781120388606,6.69,208,in,i,1.3704345226287842,out,0
100,2,left,18,0.1967916365307053,7.83,220,in,u,0.6647181510925293,in,1
100,2,left,19,0.0444444444444444,11.66,265,out,i,0.9966189861297607,out,1
100,2,left,20,0.0444444444444444,5.58,197,out,u,0.7687873840332031,in,0
100,2,left,21,0.0444444444444444,20.54,409,out,i,0.7971236705780029,out,1
100,2,left,22,0.0199902666263887,3.21,175,in,i,0.8600695133209229,out,0
100,2,left,23,0.1955386359830796,7.1,212,in,u,0.75897979736328125,in,1
100,2,left,24,0.0444444444444444,3.02,174,out,i,1.4228157997131348,out,1
100,2,left,25,0.0444444444444444,10.14,246,out,i,1.561692714691162,out,1
100,2,left,26,0.1620241642930854,6.21,203,in,u,0.8905901908874512,in,1
100,2,left,27,0.110135121189941,5.32,194,in,u,0.6842408180236816,in,1
100,2,left,28,0.0444444444444444,17.48,352,out,i,0.49457406997680664,out,1
100,2,left,29,0.0435210829592398,4.01,182,in,i,0.8724837303161621,out,0
100,2,left,30,0.1191812551022674,5.47,196,in,u,0.6415846347808838,in,1
100,2,left,31,0.0444444444444444,0.54,154,out,i,0.8566703796386719,out,1
100,2,left,32,0.0444444444444444,9.63,240,out,u,0.7934327125549316,in,0
100,2,left,33,0.0444444444444444,3.0700000000000003,174,out,i,0.7451121807098389,out,1
100,2,left,34,0.0092124698650067,12.46,275,in,u,1.1907734870910645,in,1
100,2,left,35,0.0801987546271229,4.8,190,in,i,0.8613224029541016,out,0
100,2,left,36,0.1987694253586057,7.33,214,in,u,1.4196383953094482,in,1
100,2,left,37,0.1982855148897704,7.72,219,in,u,0.948899507522583,in,1
100,2,left,38,0.1935905741492859,7.99,222,in,u,0.5156614780426025,in,1
100,2,left,39,0.1378213093627494,5.78,199,in,i,0.759253978729248,out,0
100,2,left,40,0.1185764602183948,9.54,239,in,i,0.9041454792022705,out,0
100,2,left,41,0.0444444444444444,9.71,241,out,u,0.8526618480682373,in,0
100,2,left,42,0.0444444444444444,14.38,303,out,i,0.8380777835845947,out,1
100,2,left,43,0.1992395732695614,7.4,215,in,u,0.8336865901947021,in,1
100,2,left,44,0.0444444444444444,9.32,236,out,i,1.5011711120605469,out,1
100,2,left,45,0.0398349826151916,11.09,258,in,i,0.6797704696655273,out,0
100,2,left,46,0.0444444444444444,0.16,151,out,i,0.84140944480896,out,1
100,2,left,47,0.0444444444444444,5.09,192,out,u,3.144334554672241,in,0
100,2,left,48,0.0444444444444444,8.6,228,out,u,0.36462879180908203,in,0
100,2,left,49,0.0444444444444444,18.73,374,out,i,0.6925432682037354,out,1
100,2,left,50,0.0444444444444444,9.5,238,out,u,2.4504096508026123,in,0
100,2,left,51,0.1686048794969123,6.34,204,in,u,1.5427117347717285,in,1
100,2,left,52,0.0444444444444444,13.32,287,out,i,0.8012678623199463,out,1
100,2,left,53,0.0444444444444444,2.09,166,out,i,1.9198188781738281,out,1
100,2,left,54,0.0444444444444444,5.72,198,out,u,0.6947133541107178,in,0
100,2,left,55,0.0431424739536809,11,257,in,i,0.753422737121582,out,0
100,2,left,56,0.1882852285853879,6.82,209,in,u,1.358720302581787,in,1
100,2,left,57,0.0444444444444444,7.3,214,out,i,1.3011488914489746,out,1
100,2,left,58,0.0444444444444444,1.82,164,out,i,1.4768714904785156,out,1
