"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"true","false","[]","[]","[]","preload","0","35","0.0-0.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","1","1714","0.0-1.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","1645","{""response"":""94""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","3285","0.0-2.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","3","1032184","0.0-3.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","1028891","0","","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","1035935","0.0-4.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","3745","0","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","5","1082862","0.0-5.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","46922","","","","[{""page_index"":0,""viewing_time"":8387},{""page_index"":1,""viewing_time"":3136},{""page_index"":2,""viewing_time"":17136},{""page_index"":3,""viewing_time"":18263}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","1085207","0.0-6.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","2344","","","","[{""page_index"":0,""viewing_time"":2343}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","7","1100232","0.0-7.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","1105894","0.0-8.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","5161","","","","[{""page_index"":0,""viewing_time"":5161}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","9","1120916","0.0-9.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","1156758","0.0-10.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","35341","","","","[{""page_index"":0,""viewing_time"":6653},{""page_index"":1,""viewing_time"":19927},{""page_index"":2,""viewing_time"":8760}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","1158182","0.0-11.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","1423","","","","[{""page_index"":0,""viewing_time"":1423}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","12","1158692","0.0-12.0-0.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","1159202","0.0-12.0-1.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","1162420","0.0-12.0-2.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","3206","u","learn","","","learn_trial","20","60","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","1163432","0.0-12.0-3.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","learn_feedback","","","learn_feedback","20","60","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","1163492","0.0-12.0-4.0","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","1164003","0.0-12.0-0.1","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","1164515","0.0-12.0-1.1","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","1168132","0.0-12.0-2.1","2d_cat_multi_stim_exp1","2022-5-4","15:41:39","25","75","3","9","10","40","30","120","94","21","[""Other""]","No","Female","3236002","3606","u","learn","","","learn_trial","30","30","out","1","0","","","","","","","","","","","","","","","","","","","","",""
