"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","837","606108","0.0-12.0-0.165","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","838","606618","0.0-12.0-1.165","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","839","608201","0.0-12.0-2.165","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","1573","i","learn","","","learn_trial","20","100","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","840","608711","0.0-12.0-3.165","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","20","100","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","841","608778","0.0-12.0-4.165","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","842","609289","0.0-12.0-0.166","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","843","609800","0.0-12.0-1.166","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","844","610289","0.0-12.0-2.166","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","478","u","learn","","","learn_trial","23.3333","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","845","611298","0.0-12.0-3.166","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","23.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","846","611356","0.0-12.0-4.166","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","847","611867","0.0-12.0-0.167","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","848","612377","0.0-12.0-1.167","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","849","613344","0.0-12.0-2.167","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","959","u","learn","","","learn_trial","23.3473","67.4888","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","850","613857","0.0-12.0-3.167","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","23.3473","67.4888","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","851","613919","0.0-12.0-4.167","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","852","614430","0.0-12.0-0.168","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","853","614942","0.0-12.0-1.168","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","854","615625","0.0-12.0-2.168","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","672","i","learn","","","learn_trial","20","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","855","616135","0.0-12.0-3.168","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","20","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","856","616198","0.0-12.0-4.168","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","857","616706","0.0-12.0-0.169","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","858","617218","0.0-12.0-1.169","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","859","617825","0.0-12.0-2.169","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","596","u","learn","","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","860","618336","0.0-12.0-3.169","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","861","618395","0.0-12.0-4.169","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","862","618904","0.0-12.0-0.170","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","863","619417","0.0-12.0-1.170","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","864","619904","0.0-12.0-2.170","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","474","u","learn","","","learn_trial","25.4027","66.0815","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","865","620416","0.0-12.0-3.170","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","25.4027","66.0815","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","866","620477","0.0-12.0-4.170","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","867","620986","0.0-12.0-0.171","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","868","621500","0.0-12.0-1.171","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","869","622033","0.0-12.0-2.171","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","523","i","learn","","","learn_trial","33.3333","40","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","870","622542","0.0-12.0-3.171","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","33.3333","40","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","871","622603","0.0-12.0-4.171","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","872","623111","0.0-12.0-0.172","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","873","623623","0.0-12.0-1.172","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","874","624615","0.0-12.0-2.172","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","983","i","learn","","","learn_trial","13.3333","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","875","625122","0.0-12.0-3.172","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","13.3333","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","876","625182","0.0-12.0-4.172","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","877","625694","0.0-12.0-0.173","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","878","626206","0.0-12.0-1.173","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
