"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","angle_c","radius_c","question_order"
"","","","","","canvas-keyboard-response","15","3496749","0.0-12.0-3.0","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","27.2592","69.0786","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","3496808","0.0-12.0-4.0","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","3497316","0.0-12.0-0.1","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","3497824","0.0-12.0-1.1","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","3501128","0.0-12.0-2.1","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","3295","u","learn","","","learn_trial","23.3333","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","3502137","0.0-12.0-3.1","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","23.3333","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","3502196","0.0-12.0-4.1","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","3502705","0.0-12.0-0.2","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","3503213","0.0-12.0-1.2","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","3507551","0.0-12.0-2.2","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","4329","i","learn","","","learn_trial","30","120","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","3508061","0.0-12.0-3.2","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","30","120","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","3508119","0.0-12.0-4.2","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","3508627","0.0-12.0-0.3","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","3509136","0.0-12.0-1.3","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","3511440","0.0-12.0-2.3","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","2295","u","learn","","","learn_trial","22.9268","81.5052","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","3511951","0.0-12.0-3.3","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","22.9268","81.5052","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","3512011","0.0-12.0-4.3","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","3512520","0.0-12.0-0.4","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","3513029","0.0-12.0-1.4","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","3517111","0.0-12.0-2.4","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","4073","i","learn","","","learn_trial","36.6667","110","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","3517621","0.0-12.0-3.4","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","36.6667","110","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","3517680","0.0-12.0-4.4","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","3518188","0.0-12.0-0.5","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","3518697","0.0-12.0-1.5","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","39","3520737","0.0-12.0-2.5","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","2029","u","learn","","","learn_trial","22.0121","74.1932","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","40","3521246","0.0-12.0-3.5","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","22.0121","74.1932","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","41","3521305","0.0-12.0-4.5","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","42","3521814","0.0-12.0-0.6","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","43","3522322","0.0-12.0-1.6","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","44","3526543","0.0-12.0-2.6","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","4207","u","learn","","","learn_trial","27.9518","73.393","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","45","3527052","0.0-12.0-3.6","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","27.9518","73.393","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","46","3527111","0.0-12.0-4.6","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","47","3527618","0.0-12.0-0.7","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","48","3528127","0.0-12.0-1.7","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","49","3530535","0.0-12.0-2.7","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","2399","u","learn","","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","50","3531045","0.0-12.0-3.7","2d_cat_multi_stim_exp1","2022-4-25","12:21:26","25","75","3","9","10","40","30","120","56","20","[""Asian""]","No","Female","5277986","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
