success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,stimulus,view_history,screen_id,angle,radius,distribution,choice,correct,order,angle_a,radius_a,angle_b,radius_b,jkl_correct,transfer_trial_type,choice_set,abc_correct,tc_correct,tc_angle,tdc_a,tdc_b,tdc_c,pair,category_a,category_b,category_c,angle_c,radius_c,question_order
,,,,,canvas-keyboard-response,15,289246,0.0-12.0-3.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,20,50,out,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,16,289309,0.0-12.0-4.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,17,289816,0.0-12.0-0.1,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,18,290325,0.0-12.0-1.1,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,19,295202,0.0-12.0-2.1,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,4867,i,learn,,,learn_trial,25,75,in,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,20,296212,0.0-12.0-3.1,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,25,75,in,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,21,296270,0.0-12.0-4.1,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,22,296778,0.0-12.0-0.2,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,23,297286,0.0-12.0-1.2,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,24,300306,0.0-12.0-2.2,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,3010,i,learn,,,learn_trial,40,110,out,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,25,300816,0.0-12.0-3.2,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,40,110,out,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,26,300875,0.0-12.0-4.2,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,27,301383,0.0-12.0-0.3,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,28,301892,0.0-12.0-1.3,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,29,303530,0.0-12.0-2.3,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,1630,u,learn,,,learn_trial,25,75,in,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,30,304039,0.0-12.0-3.3,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,25,75,in,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,31,304099,0.0-12.0-4.3,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,32,304609,0.0-12.0-0.4,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,33,305121,0.0-12.0-1.4,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,34,307346,0.0-12.0-2.4,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,2215,u,learn,,,learn_trial,26.4216,82.9254,in,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,35,307857,0.0-12.0-3.4,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,26.4216,82.9254,in,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,36,307914,0.0-12.0-4.4,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,37,308423,0.0-12.0-0.5,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,38,308931,0.0-12.0-1.5,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,39,310050,0.0-12.0-2.5,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,1109,i,learn,,,learn_trial,13.3333,110,out,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,40,310559,0.0-12.0-3.5,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,learn_feedback,,,learn_feedback,13.3333,110,out,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,41,310621,0.0-12.0-4.5,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,42,311131,0.0-12.0-0.6,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,fixation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,43,311640,0.0-12.0-1.6,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,clear_screen,,,,,,,,,,,,,,,,,,,,,,,,,,
