"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","angle_c","radius_c","question_order"
"true","false","[]","[]","[]","preload","0","19","0.0-0.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","1","7048","0.0-1.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","7017","{""response"":""35""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16035","0.0-2.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","3","171442","0.0-3.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","155396","0","","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","173530","0.0-4.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","2083","0","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","5","209306","0.0-5.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","35769","","","","[{""page_index"":0,""viewing_time"":5042},{""page_index"":1,""viewing_time"":2592},{""page_index"":2,""viewing_time"":8512},{""page_index"":3,""viewing_time"":19623}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","211539","0.0-6.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","2231","","","","[{""page_index"":0,""viewing_time"":2230}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","7","226556","0.0-7.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","229618","0.0-8.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","2561","","","","[{""page_index"":0,""viewing_time"":2561}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","9","244635","0.0-9.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","274083","0.0-10.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","28946","","","","[{""page_index"":0,""viewing_time"":4184},{""page_index"":1,""viewing_time"":13104},{""page_index"":2,""viewing_time"":1894},{""page_index"":1,""viewing_time"":2946},{""page_index"":2,""viewing_time"":6817}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","275642","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1556","","","","[{""page_index"":0,""viewing_time"":1556}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","12","276151","0.0-12.0-0.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","276662","0.0-12.0-1.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","279275","0.0-12.0-2.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","2602","i","learn","","","learn_trial","13.3333","110","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","279786","0.0-12.0-3.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","13.3333","110","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","279847","0.0-12.0-4.0","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","280357","0.0-12.0-0.1","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","280872","0.0-12.0-1.1","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","284330","0.0-12.0-2.1","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","3449","i","learn","","","learn_trial","25","75","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","285339","0.0-12.0-3.1","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","285402","0.0-12.0-4.1","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","285910","0.0-12.0-0.2","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","286421","0.0-12.0-1.2","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","287618","0.0-12.0-2.2","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1186","i","learn","","","learn_trial","13.3333","40","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","288127","0.0-12.0-3.2","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","13.3333","40","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","288189","0.0-12.0-4.2","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","288701","0.0-12.0-0.3","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","289211","0.0-12.0-1.3","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","290098","0.0-12.0-2.3","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","874","u","learn","","","learn_trial","30","110","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","291109","0.0-12.0-3.3","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","30","110","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","291169","0.0-12.0-4.3","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","291679","0.0-12.0-0.4","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","292190","0.0-12.0-1.4","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","293554","0.0-12.0-2.4","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1354","u","learn","","","learn_trial","23.3333","70","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","294565","0.0-12.0-3.4","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","23.3333","70","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","294622","0.0-12.0-4.4","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","295131","0.0-12.0-0.5","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","295641","0.0-12.0-1.5","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","39","296970","0.0-12.0-2.5","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1321","u","learn","","","learn_trial","16.6667","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","40","297981","0.0-12.0-3.5","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","16.6667","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","41","298043","0.0-12.0-4.5","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","42","298551","0.0-12.0-0.6","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","43","299063","0.0-12.0-1.6","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","44","300906","0.0-12.0-2.6","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1833","i","learn","","","learn_trial","33.3333","60","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","45","301420","0.0-12.0-3.6","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","33.3333","60","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","46","301481","0.0-12.0-4.6","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","47","301993","0.0-12.0-0.7","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","48","302503","0.0-12.0-1.7","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","49","303480","0.0-12.0-2.7","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","968","u","learn","","","learn_trial","30","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","50","304489","0.0-12.0-3.7","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","30","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","51","304553","0.0-12.0-4.7","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","52","305063","0.0-12.0-0.8","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","53","305574","0.0-12.0-1.8","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","54","311777","0.0-12.0-2.8","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","6194","u","learn","","","learn_trial","26.6667","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","55","312788","0.0-12.0-3.8","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","26.6667","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","56","312849","0.0-12.0-4.8","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","57","313359","0.0-12.0-0.9","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","58","313868","0.0-12.0-1.9","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","59","314978","0.0-12.0-2.9","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1101","i","learn","","","learn_trial","25","75","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","60","315991","0.0-12.0-3.9","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","61","316051","0.0-12.0-4.9","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","62","316563","0.0-12.0-0.10","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","63","317078","0.0-12.0-1.10","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","64","318690","0.0-12.0-2.10","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1599","u","learn","","","learn_trial","27.2592","69.0786","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","65","319200","0.0-12.0-3.10","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","27.2592","69.0786","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","66","319265","0.0-12.0-4.10","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","67","319775","0.0-12.0-0.11","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","68","320285","0.0-12.0-1.11","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","69","321305","0.0-12.0-2.11","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","1007","u","learn","","","learn_trial","33.3333","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","70","322317","0.0-12.0-3.11","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","33.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","71","322381","0.0-12.0-4.11","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","72","322891","0.0-12.0-0.12","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","73","323403","0.0-12.0-1.12","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","74","324330","0.0-12.0-2.12","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","917","u","learn","","","learn_trial","40","110","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","75","325344","0.0-12.0-3.12","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","learn_feedback","","","learn_feedback","40","110","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","76","325405","0.0-12.0-4.12","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","77","325913","0.0-12.0-0.13","2d_cat_multi_stim_exp1","2022-4-13","13:8:41","25","75","3","9","10","40","30","120","35","20","[""White""]","No","Male","1950485","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
