thisN,thisTrialN,thisRepN,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_setup.started,exp_setup.stopped,exp_condition,instructions1.started,instr1_1.started,instr_1_2.started,instr1_line1.started,instr1_line2.started,instr_1_3.started,instr_cont1.started,instructions1.stopped,instructions_loop.instr_cont1.keys,instructions_loop.instr_cont1.rt,instructions_loop.instr_cont1.duration,instructions2.started,instr2_1.started,instr2_2.started,instr2_3.started,instr2_4.started,instr_cont2.started,instructions2.stopped,instructions_loop.instr_cont2.keys,instructions_loop.instr_cont2.rt,instructions_loop.instr_cont2.duration,instructions3.started,instr3_1.started,instr3_2.started,instr3_3.started,instr3_4.started,fixation_cross.started,fixation_cross.stopped,instr_cont3.started,instructions3.stopped,instructions_loop.instr_cont3.keys,instructions_loop.instr_cont3.rt,instructions_loop.instr_cont3.duration,instructions4.started,instr4_1.started,instr4_2.started,instr4_3.started,instr4_4.started,instr_cont4.started,instructions4.stopped,instructions_loop.instr_cont4.keys,instructions_loop.instr_cont4.rt,instructions_loop.instr_cont4.duration,instructions5.started,instr5_1.started,instr5_2.started,instr5_3.started,instr_cont5.started,instructions5.stopped,instructions_loop.instr_cont5.keys,instructions_loop.instr_cont5.rt,instructions_loop.instr_cont5.duration,instructions6.started,instr6_1.started,instr6_2.started,instr6_3.started,instr_cont6.started,instructions6.stopped,instructions_loop.instr_cont6.keys,instructions_loop.instr_cont6.rt,instructions_loop.instr_cont6.duration,read_in_demo_vals.started,read_in_demo_vals.stopped,learn_demo_in.started,learn_demo_in.stopped,learn_start.started,learn_start_text.started,learn_start_reps.started,learn_start.stopped,demo_loop.learn_start_reps.keys,demo_loop.learn_start_reps.rt,demo_loop.learn_start_reps.duration,participant,computer_number,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.01400303840637207,0.03553009033203125,0.03553009033203125,0.03553009033203125,0.014029264450073242,8.277637720108032,1,[8.239454507827759],[8.239477396011353],0,,,[np.float64(-64.0)],[np.float64(-485.0)],[1],[0],[0],[8.26314401626587],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,2025-03-26_11h07.03.117,line_categorization_exp_updated,2024.2.5,57.75297453077388,2025-03-26 11h07.12.868187 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.278118371963501,8.278276920318604,centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,2025-03-26_11h07.03.117,line_categorization_exp_updated,2024.2.5,57.75297453077388,2025-03-26 11h07.12.868187 -0400,
0,0,0,0,0,0,0,,,,,8.308462142944336,,,,,,,,,,,,,,,,,,,,,,,,8.279024839401245,8.308462142944336,8.308462142944336,8.308462142944336,8.308462142944336,8.308462142944336,11.291789770126343,12.204563617706299,space,0.9057652950286865,None,12.204609870910645,12.219620704650879,12.219620704650879,12.219620704650879,12.219620704650879,15.203652143478394,16.936391353607178,space,1.7214112281799316,None,16.936437606811523,16.957906484603882,16.957906484603882,16.957906484603882,16.957906484603882,16.957906484603882,17.471112966537476,19.939709901809692,20.623789072036743,space,0.6813831329345703,None,20.62393093109131,20.64773154258728,20.64773154258728,20.64773154258728,20.64773154258728,23.639649391174316,24.358383893966675,space,0.7098085880279541,None,24.358431339263916,24.37450623512268,24.37450623512268,24.37450623512268,27.35865068435669,27.64067053794861,space,0.2785484790802002,None,27.64072060585022,27.65843677520752,27.65843677520752,27.65843677520752,30.642311334609985,30.745790719985962,space,0.09045553207397461,None,30.747387647628784,30.747632265090942,,,,,,,,,,10,6,2025-03-26_11h07.03.117,line_categorization_exp_updated,2024.2.5,57.75297453077388,2025-03-26 11h07.12.868187 -0400,
0,0,0,,,,,0,0,0,0,30.894015789031982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01907777786255,91.0195939540863,91.0196681022644,91.03799247741699,91.52828574180603,93.29392743110657,space,1.7568371295928955,None,,,,,,,,
