"success","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","sub_n","rt","response","url","timeout","failed_images","failed_audio","failed_video","view_history","stim","stim_vals","line_lens_order","stim_vals_order_psy","choices","stim_names","corr_ans","give_fb","in_cat","key_choice","choice","choice_psy","correct","fb_in_cat","line_1_in_order","line_2_in_order","line_3_in_order","psy_1_in_order","psy_2_in_order","psy_3_in_order","line_length","exp_trial_type","jnds","dens","distribution","correct_1_psy","correct_2_psy","correct_1_phy","transfer_trial_type","trial_choice_set","difficulty","target_side","competitor_side","tc_correct","side_correct","stim_1_psy","stim_2_psy","stim_3_psy","stim_1_phy","stim_2_phy","stim_3_phy","target_phy","competitor_phy","decoy_phy","target_psy","competitor_psy","decoy_psy","attr_choice"
"","transfer_trial","categorize-lines-2","376","1642690","0.0-6.0-0.168","line_cat_multi_stim_2","20211207","205","1423","","","","","","","","","[163.99714887879188,274.328715768507]","[163.99714887879188,274.328715768507]","[1.8285191331104893,12.37322718827252,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","j","163.99714887879188","1.8285191331104893","1","","163.99714887879188","274.328715768507","","1.8285191331104893","12.37322718827252","NaN","","transfer","","","","","","","filler_sample","binary","","","","","right","-1","1","0","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","377","1646561","0.0-6.0-0.169","line_cat_multi_stim_2","20211207","205","2313","","","","","","","","","[252.67766375674233,257.83790331632156]","[257.83790331632156,252.67766375674233]","[11.10256177398544,10.688206012653229,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","252.67766375674233","10.688206012653229","1","","257.83790331632156","252.67766375674233","","11.10256177398544","10.688206012653229","NaN","","transfer","","","","","","","filler_sample","binary","","","","","right","-1","1","0","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","378","1649817","0.0-6.0-0.170","line_cat_multi_stim_2","20211207","205","697","","","","","","","","","[356.6164,208.5062]","[208.5062,356.6164]","[6.749997433250141,17.74999971659282,null]","[""j"",""k""]","[""J"",""K""]","[356.6164,356.6164]","true","null","j","208.5062","6.749997433250141","0","","208.5062","356.6164","","6.749997433250141","17.74999971659282","NaN","","transfer","","","","17.75","356.6164","356.6164","attraction","binary","easy","right","left","target","right","17.75","6.75","0","356.6164","208.5062","0","356.6164","208.5062","","NaN","NaN","NaN","competitor"
"","transfer_trial","categorize-lines-2","379","1653218","0.0-6.0-0.171","line_cat_multi_stim_2","20211207","205","846","","","","","","","","","[421.9952594415811,266.4425614217353,236.05027797026193]","[421.9952594415811,236.05027797026193,266.4425614217353]","[21.200149741942223,9.293051954312126,11.775393804996625]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","sampled_1","true","null","k","236.05027797026193","9.293051954312126","0","","421.9952594415811","236.05027797026193","266.4425614217353","21.200149741942223","9.293051954312126","11.775393804996625","","transfer","","","","","","","filler_sample","trinary","","","","","left","-1","1","1","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","380","1655395","0.0-6.0-0.172","line_cat_multi_stim_2","20211207","205","621","","","","","","","","","[164.7966,270.0786]","[270.0786,164.7966]","[12.053202600557224,1.9281897017528786,null]","[""j"",""k""]","[""J"",""K""]","[164.7966,164.7966]","true","null","k","164.7966","1.9281897017528786","1","","270.0786","164.7966","","12.053202600557224","1.9281897017528786","NaN","","transfer","","","","1.9282","164.7966","164.7966","filler_easy","binary","","","","","left","1.9282","12.0532","0","164.7966","270.0786","0","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","381","1659026","0.0-6.0-0.173","line_cat_multi_stim_2","20211207","205","1076","","","","","","","","","[189.1213,323.4616,198.5774]","[189.1213,323.4616,198.5774]","[4.750000701688976,15.750000521219516,5.750004314173399]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[189.1213,189.1213]","true","null","k","323.4616","15.750000521219516","0","","189.1213","323.4616","198.5774","4.750000701688976","15.750000521219516","5.750004314173399","","transfer","","","","4.75","189.1213","189.1213","attraction","trinary","easy","left","right","target","left","4.75","15.75","5.75","189.1213","323.4616","198.5774","189.1213","323.4616","198.5774","NaN","NaN","NaN","competitor"
"","transfer_trial","categorize-lines-2","382","1662097","0.0-6.0-0.174","line_cat_multi_stim_2","20211207","205","1514","","","","","","","","","[168.5758741615774,229.77056668618422,282.62539945381747]","[282.62539945381747,229.77056668618422,168.5758741615774]","[12.98390896311433,8.740408811265802,2.392913573725983]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","sampled_1","true","null","l","168.5758741615774","2.392913573725983","1","","282.62539945381747","229.77056668618422","168.5758741615774","12.98390896311433","8.740408811265802","2.392913573725983","","transfer","","","","","","","filler_sample","trinary","","","","","left","-1","1","1","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","383","1664908","0.0-6.0-0.175","line_cat_multi_stim_2","20211207","205","1251","","","","","","","","","[278.47853903837404,253.29869753651002]","[278.47853903837404,253.29869753651002]","[12.680951452533456,10.73851932735619,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","j","278.47853903837404","12.680951452533456","1","","278.47853903837404","253.29869753651002","","12.680951452533456","10.73851932735619","NaN","","transfer","","","","","","","filler_sample","binary","","","","","left","-1","1","0","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","384","1667949","0.0-6.0-0.176","line_cat_multi_stim_2","20211207","205","1481","","","","","","","","","[152.70429301976208,284.87110374108755]","[284.87110374108755,152.70429301976208]","[13.146123347034907,0.3662220063335945,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","152.70429301976208","0.3662220063335945","1","","284.87110374108755","152.70429301976208","","13.146123347034907","0.3662220063335945","NaN","","transfer","","","","","","","filler_sample","binary","","","","","left","-1","1","0","","","","","","","NaN","NaN","NaN","NA"
"","transfer_trial","categorize-lines-2","385","1670378","0.0-6.0-0.177","line_cat_multi_stim_2","20211207","205","872","","","","","","","","","[339.6347,198.5774,208.5062]","[208.5062,198.5774,339.6347]","[6.749997433250141,5.750004314173399,16.7500017281595]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[198.5774,339.6347]","true","null","l","339.6347","16.7500017281595","1","","208.5062","198.5774","339.6347","6.749997433250141","5.750004314173399","16.7500017281595","","transfer","","","","5.75","339.6347","198.5774","attraction","trinary","equal_chance_6_JND","left","right","both","equal","16.75","5.75","6.75","339.6347","198.5774","208.5062","198.5774","339.6347","208.5062","NaN","NaN","NaN","competitor"
