success,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_name,date,sub_n,rt,response,url,timeout,failed_images,failed_audio,failed_video,view_history,stim,stim_vals,line_lens_order,stim_vals_order_psy,choices,stim_names,corr_ans,give_fb,in_cat,key_choice,choice,choice_psy,correct,fb_in_cat,line_1_in_order,line_2_in_order,line_3_in_order,psy_1_in_order,psy_2_in_order,psy_3_in_order,line_length,exp_trial_type,jnds,dens,distribution,correct_1_psy,correct_2_psy,correct_1_phy,transfer_trial_type,trial_choice_set,difficulty,target_side,competitor_side,tc_correct,side_correct,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy,stim_2_phy,stim_3_phy,target_phy,competitor_phy,decoy_phy,target_psy,competitor_psy,decoy_psy,attr_choice,question_order,stimulus
TRUE,enter-fullscreen-mode,fullscreen,0,2290,0.0-0.0,line_cat_multi_stim_2,20211130,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,enter-sub-number,survey-html-form,1,4398,0.0-1.0,line_cat_multi_stim_2,20211130,301,2094,"{""response"":""162""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,external-html,2,22426,0.0-2.0,line_cat_multi_stim_2,20211130,301,18016,,consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,preload,3,22450,0.0-3.0-0.0,line_cat_multi_stim_2,20211130,301,,,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,instructions,instructions,4,93892,0.0-3.0-1.0,line_cat_multi_stim_2,20211130,301,71442,,,,,,,"[{""page_index"":0,""viewing_time"":1878},{""page_index"":1,""viewing_time"":8504},{""page_index"":2,""viewing_time"":13952},{""page_index"":3,""viewing_time"":31752},{""page_index"":4,""viewing_time"":9024},{""page_index"":5,""viewing_time"":1690},{""page_index"":6,""viewing_time"":4640}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,demo-lines,draw-demo-lines,5,153906,0.0-3.0-2.0,line_cat_multi_stim_2,20211130,301,,,,,,,,,lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,click-to-begin-the-experiment,instructions,6,157690,0.0-3.0-3.0,line_cat_multi_stim_2,20211130,301,3780,,,,,,,"[{""page_index"":0,""viewing_time"":3778}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,7,164312,0.0-4.0-0.0,line_cat_multi_stim_2,20211130,301,4580,,,,,,,,,[160.2908],[160.2908],"[1.359994839380912,null,null]","[""u"",""i""]","[""""]",null,TRUE,in,u,YES,NA,1,in,160.2908,,,1.359994839,NaN,NaN,160.2908,learning,1.36,0.0444,in,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,8,169402,0.0-4.0-0.1,line_cat_multi_stim_2,20211130,301,1050,,,,,,,,,[278.0583],[278.0583],"[12.649998628714304,null,null]","[""u"",""i""]","[""""]",null,TRUE,out,u,YES,NA,0,out,278.0583,,,12.64999863,NaN,NaN,278.0583,learning,12.65,0.1461,out,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,9,174542,0.0-4.0-0.2,line_cat_multi_stim_2,20211130,301,1100,,,,,,,,,[271.0925],[271.0925],"[12.130002164006402,null,null]","[""u"",""i""]","[""""]",null,TRUE,out,u,YES,NA,0,out,271.0925,,,12.13000216,NaN,NaN,271.0925,learning,12.13,0.1643,out,,,,,,,,,,,,,,,,,,,,,,,,,
