date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,100,learn,94,260.5878,in,11.32,i,NO,FALSE,785
20210928,100,learn,95,297.2797,in,14.02,i,NO,FALSE,369
20210928,100,learn,96,278.0583,in,12.65,i,NO,FALSE,289
20210928,100,learn,97,217.0172,out,7.57,i,NO,TRUE,142
20210928,100,learn,98,162.972,out,1.7,i,NO,TRUE,563
20210928,100,learn,99,328.3911,out,16.06,i,NO,TRUE,347
20210928,100,learn,100,270.9602,in,12.12,i,NO,FALSE,409
20210928,100,learn,101,219.6805,in,7.82,u,YES,TRUE,166
20210928,100,learn,102,351.2632,out,17.44,u,YES,FALSE,243
20210928,100,learn,103,261.6069,in,11.4,i,NO,FALSE,294
20210928,100,learn,104,354.5346,in,17.63,u,YES,TRUE,232
20210928,100,learn,105,397.6065,in,19.98,i,NO,FALSE,267
20210928,100,learn,106,389.5417,in,19.56,i,NO,FALSE,213
20210928,100,learn,107,246.0089,in,10.14,u,YES,TRUE,316
20210928,100,learn,108,319.8521,in,15.52,u,YES,TRUE,357
20210928,100,learn,109,433.4695,out,21.75,i,NO,TRUE,298
20210928,100,learn,110,346.6662,in,17.17,u,YES,TRUE,295
20210928,100,learn,111,228.6477,in,8.64,u,YES,TRUE,229
20210928,100,learn,113,213.0308,in,7.19,u,YES,TRUE,238
20210928,100,learn,114,255.801,out,10.94,u,YES,FALSE,350
20210928,100,learn,115,211.2711,out,7.02,i,NO,TRUE,152
20210928,100,learn,116,196.2656,in,5.51,u,YES,TRUE,1010
20210928,100,learn,117,235.0957,in,9.21,i,NO,FALSE,549
20210928,100,learn,118,304.3239,in,14.5,u,YES,TRUE,345
20210928,100,learn,119,340.7966,out,16.82,u,YES,FALSE,571
20210928,100,learn,120,249.3927,out,10.42,i,NO,TRUE,268
20210928,100,learn,121,308.8111,in,14.8,u,YES,TRUE,404
20210928,100,learn,122,177.9319,out,3.5,i,NO,TRUE,306
20210928,100,learn,123,274.6873,out,12.4,u,YES,FALSE,432
20210928,100,learn,124,367.7482,out,18.38,u,YES,FALSE,1131
20210928,100,learn,125,188.2927,out,4.66,i,NO,TRUE,426
20210928,100,learn,126,292.2463,in,13.67,i,NO,FALSE,247
20210928,100,learn,127,414.4426,out,20.83,i,NO,TRUE,292
