sub_n,trial_num,line1,line2,line3,trial_type,choice_set,target,decoy,competitor,choice
170,277,218.9315,339.6347,208.5062,attraction,trinary,208.5062,218.9315,339.6347,208.5062
171,277,345.13485288758795,246.8243240102616,239.58132209528915,filler_sample,trinary,NA,NA,NA,345.13485288758795
172,277,243.507,437.1072,NA,filler_easy,binary,NA,NA,NA,243.507
173,277,274.0589566160504,270.0327408571237,248.28618191314015,filler_sample,trinary,NA,NA,NA,248.28618191314015
175,277,323.4616,198.5774,208.5062,attraction,trinary,198.5774,208.5062,323.4616,323.4616
176,277,208.5062,356.6164,218.9315,attraction,trinary,208.5062,218.9315,356.6164,356.6164
177,277,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,208.5062
178,277,189.1213,323.4616,308.0587,attraction,trinary,323.4616,308.0587,189.1213,189.1213
179,277,202.824637762334,210.42160361809675,281.87627932502494,filler_sample,trinary,NA,NA,NA,281.87627932502494
184,277,323.4616,189.1213,NA,attraction,binary,189.1213,NA,323.4616,189.1213
185,277,208.5062,339.6347,323.4616,attraction,trinary,339.6347,323.4616,208.5062,339.6347
186,277,339.6347,198.5774,NA,attraction,binary,339.6347,NA,198.5774,339.6347
302,277,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,356.6164
187,277,323.4616,208.5062,NA,attraction,binary,323.4616,NA,208.5062,208.5062
189,277,323.4616,198.5774,339.6347,attraction,trinary,339.6347,323.4616,198.5774,198.5774
200,277,323.4616,308.0587,208.5062,attraction,trinary,323.4616,308.0587,208.5062,208.5062
201,277,198.5774,208.5062,339.6347,attraction,trinary,198.5774,208.5062,339.6347,339.6347
202,277,323.4616,189.1213,NA,attraction,binary,189.1213,NA,323.4616,189.1213
203,277,218.9315,208.5062,339.6347,attraction,trinary,208.5062,218.9315,339.6347,339.6347
205,277,254.28972518438388,242.48083269649277,237.81268586427709,filler_sample,trinary,NA,NA,NA,242.48083269649277
206,277,421.378,247.4936,NA,filler_easy,binary,NA,NA,NA,247.4936
207,277,198.5774,323.4616,NA,attraction,binary,198.5774,NA,323.4616,323.4616
100,278,356.6164,208.5062,NA,attraction,binary,356.6164,NA,208.5062,356.6164
103,278,255.4422092133409,331.23378855181846,256.3903517456464,filler_sample,trinary,NA,NA,NA,331.23378855181846
104,278,208.5062,323.4616,NA,attraction,binary,208.5062,NA,323.4616,323.4616
105,278,228.98773716624547,247.93759346641085,286.92766098512953,filler_sample,trinary,NA,NA,NA,286.92766098512953
106,278,152.8402,285.3118,283.4532,filler_easy,trinary,NA,NA,NA,283.4532
107,278,260.44912835758583,218.44715432471375,280.3205653031623,filler_sample,trinary,NA,NA,NA,218.44715432471375
108,278,323.4616,189.1213,NA,attraction,binary,189.1213,NA,323.4616,323.4616
109,278,356.6164,208.5062,NA,attraction,binary,208.5062,NA,356.6164,208.5062
111,278,416.4942,284.3193,251.4735,filler_easy,trinary,NA,NA,NA,416.4942
112,278,198.5774,323.4616,NA,attraction,binary,323.4616,NA,198.5774,323.4616
113,278,339.6347,208.5062,NA,attraction,binary,339.6347,NA,208.5062,208.5062
114,278,448.4424,268.7859,NA,filler_easy,binary,NA,NA,NA,448.4424
115,278,239.1983,244.0034,152.1939,filler_easy,trinary,NA,NA,NA,152.1939
116,278,208.5062,339.6347,323.4616,attraction,trinary,339.6347,323.4616,208.5062,339.6347
117,278,365.6849134992691,348.98489034990325,243.88489393603268,filler_sample,trinary,NA,NA,NA,365.6849134992691
118,278,276.5231873300284,297.854530120761,376.71776393619575,filler_sample,trinary,NA,NA,NA,376.71776393619575
119,278,339.6347,208.5062,198.5774,attraction,trinary,198.5774,208.5062,339.6347,339.6347
125,278,323.4616,198.5774,NA,attraction,binary,323.4616,NA,198.5774,198.5774
126,278,323.4616,208.5062,218.9315,attraction,trinary,208.5062,218.9315,323.4616,323.4616
127,278,189.1213,323.4616,NA,attraction,binary,189.1213,NA,323.4616,323.4616
129,278,189.1213,323.4616,NA,attraction,binary,323.4616,NA,189.1213,189.1213
131,278,408.4609240527509,253.49044654570417,NA,filler_sample,binary,NA,NA,NA,408.4609240527509
133,278,241.408,152.1939,242.6959,filler_easy,trinary,NA,NA,NA,152.1939
136,278,323.4616,198.5774,NA,attraction,binary,198.5774,NA,323.4616,323.4616
137,278,323.4616,198.5774,NA,attraction,binary,323.4616,NA,198.5774,323.4616
138,278,264.00278909411605,234.05951754867868,NA,filler_sample,binary,NA,NA,NA,264.00278909411605
139,278,339.6347,208.5062,323.4616,attraction,trinary,339.6347,323.4616,208.5062,339.6347
140,278,189.1213,308.0587,323.4616,attraction,trinary,323.4616,308.0587,189.1213,189.1213
142,278,318.8960363781221,438.5916946129611,NA,filler_sample,binary,NA,NA,NA,438.5916946129611
143,278,323.4616,208.5062,NA,attraction,binary,208.5062,NA,323.4616,323.4616
144,278,208.5062,308.0587,323.4616,attraction,trinary,323.4616,308.0587,208.5062,308.0587
145,278,268.8004417455036,284.02882800185284,270.1467698219211,filler_sample,trinary,NA,NA,NA,284.02882800185284
146,278,208.5062,323.4616,308.0587,attraction,trinary,323.4616,308.0587,208.5062,323.4616
147,278,214.37680053726945,287.2148372485273,268.40746880528224,filler_sample,trinary,NA,NA,NA,287.2148372485273
148,278,323.4616,208.5062,339.6347,attraction,trinary,339.6347,323.4616,208.5062,339.6347
149,278,333.5027106489114,302.8882549580198,249.2322807554797,filler_sample,trinary,NA,NA,NA,333.5027106489114
150,278,208.5062,323.4616,198.5774,attraction,trinary,198.5774,208.5062,323.4616,323.4616
151,278,356.6164,208.5062,NA,attraction,binary,356.6164,NA,208.5062,356.6164
152,278,339.6347,356.6164,208.5062,attraction,trinary,356.6164,339.6347,208.5062,356.6164
153,278,208.5062,339.6347,198.5774,attraction,trinary,198.5774,208.5062,339.6347,339.6347
154,278,208.5062,198.5774,323.4616,attraction,trinary,198.5774,208.5062,323.4616,323.4616
155,278,208.5062,323.4616,NA,attraction,binary,208.5062,NA,323.4616,208.5062
158,278,225.4246367129348,233.24596104224065,254.3426407984836,filler_sample,trinary,NA,NA,NA,225.4246367129348
159,278,323.4616,218.9315,208.5062,attraction,trinary,208.5062,218.9315,323.4616,323.4616
160,278,208.5062,339.6347,NA,attraction,binary,208.5062,NA,339.6347,339.6347
301,278,198.5774,323.4616,NA,attraction,binary,198.5774,NA,323.4616,198.5774
163,278,339.6347,208.5062,NA,attraction,binary,208.5062,NA,339.6347,208.5062
164,278,208.5062,218.9315,339.6347,attraction,trinary,208.5062,218.9315,339.6347,339.6347
165,278,377.8070073697584,209.62497559461957,NA,filler_sample,binary,NA,NA,NA,377.8070073697584
166,278,198.5774,339.6347,NA,attraction,binary,339.6347,NA,198.5774,198.5774
167,278,323.4616,308.0587,198.5774,attraction,trinary,323.4616,308.0587,198.5774,323.4616
168,278,239.3667,411.6704,NA,filler_easy,binary,NA,NA,NA,411.6704
169,278,295.7574188877176,281.80183614196534,238.29837866424216,filler_sample,trinary,NA,NA,NA,238.29837866424216
170,278,323.4616,198.5774,189.1213,attraction,trinary,189.1213,198.5774,323.4616,323.4616
171,278,419.86536123726864,262.5042172616805,NA,filler_sample,binary,NA,NA,NA,419.86536123726864
172,278,189.1213,323.4616,198.5774,attraction,trinary,189.1213,198.5774,323.4616,189.1213
173,278,424.8905018885318,224.71031043377283,NA,filler_sample,binary,NA,NA,NA,224.71031043377283
175,278,208.5062,323.4616,NA,attraction,binary,323.4616,NA,208.5062,323.4616
176,278,323.4616,189.1213,NA,attraction,binary,189.1213,NA,323.4616,323.4616
177,278,356.6164,339.6347,208.5062,attraction,trinary,356.6164,339.6347,208.5062,356.6164
178,278,339.6347,208.5062,356.6164,attraction,trinary,356.6164,339.6347,208.5062,356.6164
179,278,356.6164,208.5062,218.9315,attraction,trinary,208.5062,218.9315,356.6164,356.6164
184,278,339.6347,198.5774,NA,attraction,binary,198.5774,NA,339.6347,198.5774
185,278,323.4616,198.5774,208.5062,attraction,trinary,198.5774,208.5062,323.4616,323.4616
186,278,208.5062,218.9315,339.6347,attraction,trinary,208.5062,218.9315,339.6347,208.5062
302,278,323.4616,198.5774,208.5062,attraction,trinary,198.5774,208.5062,323.4616,323.4616
187,278,277.3456410444769,242.9991197098053,NA,filler_sample,binary,NA,NA,NA,242.9991197098053
189,278,198.5774,323.4616,308.0587,attraction,trinary,323.4616,308.0587,198.5774,198.5774
200,278,171.5296346694532,261.0532939147135,259.96525805026664,filler_sample,trinary,NA,NA,NA,171.5296346694532
201,278,339.6347,198.5774,NA,attraction,binary,198.5774,NA,339.6347,339.6347
202,278,339.6347,208.5062,218.9315,attraction,trinary,208.5062,218.9315,339.6347,208.5062
203,278,286.9932071138666,241.73525749914273,295.49332376511336,filler_sample,trinary,NA,NA,NA,295.49332376511336
205,278,339.6347,198.5774,NA,attraction,binary,198.5774,NA,339.6347,198.5774
206,278,332.162665542944,290.98366058991587,262.25452393859905,filler_sample,trinary,NA,NA,NA,332.162665542944
207,278,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,356.6164
100,279,208.5062,323.4616,339.6347,attraction,trinary,339.6347,323.4616,208.5062,323.4616
103,279,244.0034,152.1939,239.1983,filler_easy,trinary,NA,NA,NA,152.1939
104,279,239.3692841878524,197.0728206553229,263.34562890245445,filler_sample,trinary,NA,NA,NA,263.34562890245445
105,279,259.12212470270134,312.0340589811167,NA,filler_sample,binary,NA,NA,NA,259.12212470270134
106,279,310.72770923825715,156.71133515637965,NA,filler_sample,binary,NA,NA,NA,310.72770923825715
107,279,208.5062,323.4616,339.6347,attraction,trinary,339.6347,323.4616,208.5062,339.6347
108,279,356.6164,218.9315,208.5062,attraction,trinary,208.5062,218.9315,356.6164,356.6164
109,279,162.523,270.6374,256.0975,filler_easy,trinary,NA,NA,NA,162.523
111,279,189.1213,198.5774,323.4616,attraction,trinary,189.1213,198.5774,323.4616,323.4616
112,279,232.5302091773273,259.9802549372891,179.35987692395886,filler_sample,trinary,NA,NA,NA,179.35987692395886
113,279,339.6347,198.5774,NA,attraction,binary,339.6347,NA,198.5774,339.6347
114,279,293.60463466591517,268.2683192365875,269.5839723468876,filler_sample,trinary,NA,NA,NA,293.60463466591517
115,279,241.408,262.9662,152.2423,filler_easy,trinary,NA,NA,NA,152.2423
116,279,323.4616,308.0587,189.1213,attraction,trinary,323.4616,308.0587,189.1213,189.1213
117,279,353.3653967742977,232.70965655132116,237.90327905495087,filler_sample,trinary,NA,NA,NA,237.90327905495087
118,279,356.6164,208.5062,NA,attraction,binary,208.5062,NA,356.6164,356.6164
119,279,323.4616,198.5774,NA,attraction,binary,198.5774,NA,323.4616,323.4616
125,279,339.92305558962806,226.88227086132835,NA,filler_sample,binary,NA,NA,NA,339.92305558962806
126,279,212.35483704191887,291.91365335461023,NA,filler_sample,binary,NA,NA,NA,291.91365335461023
127,279,356.6164,339.6347,208.5062,attraction,trinary,356.6164,339.6347,208.5062,339.6347
129,279,339.6347,208.5062,NA,attraction,binary,208.5062,NA,339.6347,208.5062
131,279,151.3192,242.6499,256.0975,filler_easy,trinary,NA,NA,NA,151.3192
133,279,198.5774,323.4616,NA,attraction,binary,198.5774,NA,323.4616,198.5774
136,279,208.5062,339.6347,356.6164,attraction,trinary,356.6164,339.6347,208.5062,356.6164
137,279,356.6164,208.5062,NA,attraction,binary,208.5062,NA,356.6164,356.6164
138,279,339.6347,198.5774,NA,attraction,binary,339.6347,NA,198.5774,339.6347
139,279,208.5062,339.6347,NA,attraction,binary,339.6347,NA,208.5062,339.6347
140,279,330.1796634320637,290.92899644320835,NA,filler_sample,binary,NA,NA,NA,290.92899644320835
142,279,218.9315,356.6164,208.5062,attraction,trinary,208.5062,218.9315,356.6164,356.6164
143,279,323.4616,208.5062,218.9315,attraction,trinary,208.5062,218.9315,323.4616,208.5062
144,279,208.5062,356.6164,NA,attraction,binary,356.6164,NA,208.5062,356.6164
145,279,323.4616,198.5774,NA,attraction,binary,323.4616,NA,198.5774,198.5774
146,279,243.507,437.1072,NA,filler_easy,binary,NA,NA,NA,437.1072
147,279,339.6347,356.6164,208.5062,attraction,trinary,356.6164,339.6347,208.5062,339.6347
148,279,305.1683861539141,253.6146666565266,369.325676778429,filler_sample,trinary,NA,NA,NA,369.325676778429
149,279,247.4936,421.378,NA,filler_easy,binary,NA,NA,NA,421.378
150,279,339.6347,198.5774,NA,attraction,binary,339.6347,NA,198.5774,339.6347
151,279,308.0587,208.5062,323.4616,attraction,trinary,323.4616,308.0587,208.5062,208.5062
152,279,188.97400082965444,255.67706584522537,229.33588773718552,filler_sample,trinary,NA,NA,NA,255.67706584522537
153,279,323.4616,208.5062,198.5774,attraction,trinary,198.5774,208.5062,323.4616,323.4616
154,279,198.5774,323.4616,339.6347,attraction,trinary,339.6347,323.4616,198.5774,198.5774
155,279,208.5062,218.9315,339.6347,attraction,trinary,208.5062,218.9315,339.6347,218.9315
158,279,339.6347,198.5774,NA,attraction,binary,198.5774,NA,339.6347,198.5774
159,279,323.4616,208.5062,339.6347,attraction,trinary,339.6347,323.4616,208.5062,208.5062
160,279,208.5062,198.5774,339.6347,attraction,trinary,198.5774,208.5062,339.6347,198.5774
301,279,189.1213,323.4616,308.0587,attraction,trinary,323.4616,308.0587,189.1213,323.4616
163,279,189.1213,323.4616,NA,attraction,binary,323.4616,NA,189.1213,189.1213
164,279,414.9215,262.9662,257.1963,filler_easy,trinary,NA,NA,NA,414.9215
165,279,437.1072,243.507,NA,filler_easy,binary,NA,NA,NA,437.1072
166,279,214.8168669029167,262.3659885875279,172.26693027381478,filler_sample,trinary,NA,NA,NA,172.26693027381478
167,279,213.77045530166953,400.7387715639217,NA,filler_sample,binary,NA,NA,NA,400.7387715639217
168,279,208.5062,218.9315,356.6164,attraction,trinary,208.5062,218.9315,356.6164,208.5062
169,279,230.6568362434052,229.2609613510072,207.0010211884147,filler_sample,trinary,NA,NA,NA,230.6568362434052
170,279,226.42527214823016,257.80241964590977,293.79956361882876,filler_sample,trinary,NA,NA,NA,293.79956361882876
171,279,308.0587,208.5062,323.4616,attraction,trinary,323.4616,308.0587,208.5062,323.4616
172,279,244.0034,447.3695,245.678,filler_easy,trinary,NA,NA,NA,447.3695
173,279,160.8873,253.1802,NA,filler_easy,binary,NA,NA,NA,160.8873
175,279,339.6347,208.5062,323.4616,attraction,trinary,339.6347,323.4616,208.5062,339.6347
176,279,323.4616,208.5062,NA,attraction,binary,323.4616,NA,208.5062,323.4616
177,279,323.4616,339.6347,198.5774,attraction,trinary,339.6347,323.4616,198.5774,198.5774
178,279,208.5062,356.6164,218.9315,attraction,trinary,208.5062,218.9315,356.6164,356.6164
179,279,323.4616,218.9315,208.5062,attraction,trinary,208.5062,218.9315,323.4616,323.4616
184,279,208.5062,323.4616,NA,attraction,binary,323.4616,NA,208.5062,323.4616
185,279,237.62502556398115,258.8181318287868,NA,filler_sample,binary,NA,NA,NA,237.62502556398115
186,279,259.4595819961387,241.08420608241175,NA,filler_sample,binary,NA,NA,NA,241.08420608241175
302,279,339.6347,198.5774,NA,attraction,binary,339.6347,NA,198.5774,198.5774
187,279,339.6347,208.5062,NA,attraction,binary,208.5062,NA,339.6347,208.5062
189,279,208.5062,356.6164,NA,attraction,binary,356.6164,NA,208.5062,356.6164
200,279,263.2556132510588,231.9659894192883,157.93734209840932,filler_sample,trinary,NA,NA,NA,157.93734209840932
201,279,151.3171747921498,251.17021544941863,NA,filler_sample,binary,NA,NA,NA,151.3171747921498
202,279,252.5612411328652,201.81271547950408,NA,filler_sample,binary,NA,NA,NA,201.81271547950408
203,279,189.1213,323.4616,NA,attraction,binary,323.4616,NA,189.1213,323.4616
