date,sub_n,screen_id,trial_type,trial_num,exp_trial_type,trial_index,time_elapsed,give_fb,fb_in_cat,in_cat,distribution,stim,stim_vals,line_length,jnds,dens,rt,key_choice,choice,correct
20211119,143,learn_trial,categorize-lines-2,1,learning,7,231216,TRUE,in,in,in,,[162.972],162.972,1.7,0.0444,1886,u,YES,1
20211119,144,learn_trial,categorize-lines-2,1,learning,7,168204,TRUE,out,out,out,,[215.1197],215.1197,7.39,0.0407,12458,u,YES,0
20211119,145,learn_trial,categorize-lines-2,1,learning,7,281902,TRUE,out,out,out,,[272.6843],272.6843,12.25,0.1606,6796,i,NO,1
20211122,146,learn_trial,categorize-lines-2,1,learning,7,176016,TRUE,out,out,out,,[242.5526],242.5526,9.85,0.1461,4356,i,NO,1
20211122,147,learn_trial,categorize-lines-2,1,learning,7,206840,TRUE,out,out,out,,[316.4372],316.4372,15.3,0.0351,8206,i,NO,1
20211122,148,learn_trial,categorize-lines-2,1,learning,7,171612,TRUE,in,in,in,,[244.931],244.931,10.05,0.0444,2258,i,NO,0
20211122,149,learn_trial,categorize-lines-2,1,learning,7,294768,TRUE,out,out,out,,[233.9515],233.9515,9.11,0.1128,8798,u,YES,0
20211122,150,learn_trial,categorize-lines-2,1,learning,7,136549,TRUE,out,out,out,,[270.3],270.3,12.07,0.1659,6067,u,YES,0
20211203,300,learn_trial,categorize-lines-2,1,learning,7,187388,TRUE,in,in,in,,[217.0172],217.0172,7.57,0.0444,6186,u,YES,1
20211129,151,learn_trial,categorize-lines-2,1,learning,7,207124,TRUE,in,in,in,,[240.0801],240.0801,9.64,0.0444,2896,u,YES,1
20211129,152,learn_trial,categorize-lines-2,1,learning,7,275038,TRUE,in,in,in,,[282.8474],282.8474,13,0.0444,9014,i,NO,0
20211129,153,learn_trial,categorize-lines-2,1,learning,7,245282,TRUE,out,out,out,,[290.8239],290.8239,13.57,0.1042,2658,i,NO,1
20211129,154,learn_trial,categorize-lines-2,1,learning,7,266918,TRUE,in,in,in,,[153.0308],153.0308,0.41,0.0444,6139,u,YES,1
20211129,155,learn_trial,categorize-lines-2,1,learning,7,210828,TRUE,out,out,out,,[235.0957],235.0957,9.21,0.1176,5378,u,YES,0
20211130,157,learn_trial,categorize-lines-2,1,learning,7,458316,TRUE,out,out,out,,[243.7389],243.7389,9.95,0.1501,5876,u,YES,0
20211130,158,learn_trial,categorize-lines-2,1,learning,7,167142,TRUE,out,out,out,,[349.0423],349.0423,17.31,0.0047,5794,u,YES,0
20211130,159,learn_trial,categorize-lines-2,1,learning,7,145852,TRUE,out,out,out,,[219.1453],219.1453,7.77,0.0536,6324,i,NO,1
20211130,160,learn_trial,categorize-lines-2,1,learning,7,184110,TRUE,out,out,out,,[219.1453],219.1453,7.77,0.0536,4140,i,NO,1
20211130,301,learn_trial,categorize-lines-2,1,learning,7,164312,TRUE,in,in,in,,[160.2908],160.2908,1.36,0.0444,4580,u,YES,1
20211130,162,learn_trial,categorize-lines-2,1,learning,7,145802,TRUE,out,out,out,,[282.2959],282.2959,12.96,0.1328,4069,i,NO,1
20211201,163,learn_trial,categorize-lines-2,1,learning,7,203692,TRUE,out,out,out,,[289.5496],289.5496,13.48,0.1085,4182,u,YES,0
20211201,164,learn_trial,categorize-lines-2,1,learning,7,321976,TRUE,out,out,out,,[241.7256],241.7256,9.78,0.1432,4440,i,NO,1
20211201,165,learn_trial,categorize-lines-2,1,learning,7,372442,TRUE,in,in,in,,[179.6767],179.6767,3.7,0.0444,5140,u,YES,1
20211202,166,learn_trial,categorize-lines-2,1,learning,7,436827,TRUE,in,in,in,,[162.972],162.972,1.7,0.0444,3007,u,YES,1
20211202,167,learn_trial,categorize-lines-2,1,learning,7,464240,TRUE,in,in,in,,[274.8213],274.8213,12.41,0.0444,4152,u,YES,1
20211202,168,learn_trial,categorize-lines-2,1,learning,7,474851,TRUE,in,in,in,,[243.0264],243.0264,9.89,0.0444,10141,i,NO,0
20211202,169,learn_trial,categorize-lines-2,1,learning,7,547618,TRUE,out,out,out,,[243.7389],243.7389,9.95,0.1501,10675,i,NO,1
20211202,170,learn_trial,categorize-lines-2,1,learning,7,434712,TRUE,in,in,in,,[157.5],157.5,1,0.0444,4428,u,YES,1
20211202,171,learn_trial,categorize-lines-2,1,learning,7,375696,TRUE,in,in,in,,[228.0906],228.0906,8.59,0.0444,4323,i,NO,0
20211202,172,learn_trial,categorize-lines-2,1,learning,7,393846,TRUE,in,in,in,,[240.0801],240.0801,9.64,0.0444,1868,i,NO,0
20211202,173,learn_trial,categorize-lines-2,1,learning,7,800800,TRUE,out,out,out,,[233.8373],233.8373,9.1,0.1123,6208,i,NO,1
20211202,174,learn_trial,categorize-lines-2,1,learning,7,168954,TRUE,in,in,in,,[150.8808],150.8808,0.12,0.0444,5701,i,NO,0
20211202,175,learn_trial,categorize-lines-2,1,learning,7,306110,TRUE,out,out,out,,[236.9381],236.9381,9.37,0.1251,6198,u,YES,0
20211202,176,learn_trial,categorize-lines-2,1,learning,7,324630,TRUE,in,in,in,,[189.1213],189.1213,4.75,0.0444,6851,u,YES,1
20211203,177,learn_trial,categorize-lines-2,1,learning,7,206888,TRUE,in,in,in,,[256.4258],256.4258,10.99,0.0444,7865,i,NO,0
20211203,178,learn_trial,categorize-lines-2,1,learning,7,260124,TRUE,out,out,out,,[282.1582],282.1582,12.95,0.1333,4886,i,NO,1
20211203,179,learn_trial,categorize-lines-2,1,learning,7,247164,TRUE,out,out,out,,[259.5727],259.5727,11.24,0.1773,7348,u,YES,0
20211203,180,learn_trial,categorize-lines-2,1,learning,7,166408,TRUE,out,out,out,,[286.1789],286.1789,13.24,0.1199,5338,u,YES,0
20211203,182,learn_trial,categorize-lines-2,1,learning,7,194316,TRUE,out,out,out,,[229.318],229.318,8.7,0.0933,9342,u,YES,0
20211203,183,learn_trial,categorize-lines-2,1,learning,7,187158,TRUE,out,out,out,,[286.8779],286.8779,13.29,0.1176,3249,u,YES,0
20211203,184,learn_trial,categorize-lines-2,1,learning,7,246184,TRUE,in,in,in,,[170.787],170.787,2.66,0.0444,4170,u,YES,1
20211203,185,learn_trial,categorize-lines-2,1,learning,7,289346,TRUE,out,out,out,,[259.5727],259.5727,11.24,0.1773,2261,i,NO,1
20211206,186,learn_trial,categorize-lines-2,1,learning,7,161878,TRUE,out,out,out,,[219.1453],219.1453,7.77,0.0536,4782,u,YES,0
20211206,302,learn_trial,categorize-lines-2,1,learning,7,214128,TRUE,out,out,out,,[190.3246],190.3246,4.88,0.0032,3406,u,YES,0
20211206,187,learn_trial,categorize-lines-2,1,learning,7,156472,TRUE,in,in,in,,[217.0172],217.0172,7.57,0.0444,6394,i,NO,0
20211206,188,learn_trial,categorize-lines-2,1,learning,7,345752,TRUE,in,in,in,,[266.7626],266.7626,11.8,0.0444,9690,u,YES,1
20211206,189,learn_trial,categorize-lines-2,1,learning,7,243045,TRUE,out,out,out,,[250.9796],250.9796,10.55,0.1689,3562,i,NO,1
20211206,190,learn_trial,categorize-lines-2,1,learning,7,315802,TRUE,out,out,out,,[235.4401],235.4401,9.24,0.119,5636,u,YES,0
20211207,200,learn_trial,categorize-lines-2,1,learning,7,297124,TRUE,in,in,in,,[157.5],157.5,1,0.0444,4398,i,NO,0
20211207,201,learn_trial,categorize-lines-2,1,learning,7,232470,TRUE,out,out,out,,[264.3011],264.3011,11.61,0.1751,4650,i,NO,1
20211207,202,learn_trial,categorize-lines-2,1,learning,7,147489,TRUE,out,out,out,,[317.2101],317.2101,15.35,0.0337,3971,i,NO,1
