distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
in,15.31,0.04444444444444444,316.59162923304984,0.560788497089464,in,0.765
out,13.29,0.1175501299699515,286.8778673566909,0.27435761108116974,out,0.765
in,14.27,0.04444444444444444,300.9279709052296,0.38157538071918357,out,0.765
out,11.61,0.1750527054998401,264.3011308081502,0.20248301381464806,out,0.765
in,14.36,0.04444444444444444,302.25228564562883,0.3945137172781046,out,0.765
out,11.33,0.1771957412136253,260.7149993357941,0.2005252085152558,out,0.765
in,14.52,0.04444444444444444,304.6210295104336,0.41883485829265393,out,0.765
out,12.18,0.1627906273974183,271.7546110057837,0.21446391312740334,out,0.765
in,17.49,0.04444444444444444,352.12114045758085,0.921437593494846,in,0.765
out,12.9,0.1355036007782035,281.47071547440925,0.24698486937967995,out,0.765
in,15.87,0.04444444444444444,325.36095586554217,0.673584371053582,in,0.765
out,13.4,0.1123190961320689,288.4216563525694,0.2835126348958159,out,0.765
in,17,0.04444444444444444,343.8027476701551,0.8678160167936523,in,0.765
out,12.65,0.14610227000170872,278.0583186035618,0.23324697344495046,out,0.765
in,16.52,0.04444444444444444,335.8446850352531,0.7956549029548131,in,0.765
out,11.42,0.17680241009625677,261.862346043463,0.20088170083461374,out,0.765
in,16.06,0.04444444444444444,328.39111791128084,0.7112370729838174,in,0.765
out,12.13,0.16425221654939676,271.09247137745143,0.21296193352013443,out,0.765
in,16.7,0.04444444444444444,338.80713958996466,0.8249040711838102,in,0.765
out,12.55,0.15005074285904849,276.70497168781577,0.22851179538490446,out,0.765
in,16.66,0.04444444444444444,338.14656615086494,0.8186205482546265,in,0.765
out,12.95,0.13328037660722636,282.1582038210375,0.25007449258605746,out,0.765
in,17.26,0.04444444444444444,348.19181750985297,0.8987825680425161,in,0.765
out,12.96,0.13283225649801814,282.2959028609615,0.250706630979496,out,0.765
in,17.44,0.04444444444444444,351.26318496527983,0.9168775447779618,in,0.765
out,12.19,0.16249024465281234,271.88723287721496,0.21477522516080472,out,0.765
in,16.82,0.04444444444444444,340.79661262533153,0.8429760917690309,in,0.765
out,13.27,0.11849664331622686,286.59806752879,0.27276388696830517,out,0.765
in,20.21,0.04444444444444444,402.0934450422493,0.9985653515738798,in,0.765
out,11.77,0.17263524012446785,266.3724523888141,0.20473792622605128,out,0.765
in,18.52,0.04444444444444444,370.2687652513666,0.9788842123385902,in,0.765
out,11.57,0.17552360277639922,263.78582198925346,0.20204954767736372,out,0.765
in,19.87,0.04444444444444444,395.4782753605408,0.99741401390397455,in,0.765
out,12.25,0.160632905372569,272.68432437839203,0.21672039590964756,out,0.765
in,19.64,0.04444444444444444,391.0651297576308,0.9961989098522162,in,0.765
out,12.07,0.16591526833436507,270.3000330682063,0.21127830922253255,out,0.765
in,18.38,0.04444444444444444,367.7482171702934,0.9743513558246925,in,0.765
out,13.52,0.1065866967313329,290.115266200413,0.29427338030054245,out,0.765
in,19.1,0.04444444444444444,380.896402891791,0.991009233152702,in,0.765
out,15.47,0.03053986202322737,319.07275018732963,0.5927166168244271,in,0.765
in,18.35,0.04444444444444444,367.21033603929226,0.9732763286665316,in,0.765
out,14.67,0.05585098170358257,306.85858382741816,0.4431353068767906,out,0.765
in,19.12,0.04444444444444444,381.2682642546262,0.9912817265386267,in,0.765
out,15.3,0.03508897936146401,316.4372013332767,0.558814675863894,in,0.765
in,18.99,0.04444444444444444,378.85763894184936,0.989367524878362,in,0.765
out,14.61,0.05814063870114637,305.9615965517849,0.43324470850569957,out,0.765
in,19.26,0.04444444444444444,383.8814788046129,0.9929883986428053,in,0.765
out,13.77,0.09469745285733318,293.6756287586676,0.3194181285889124,out,0.765
in,21.35,0.04444444444444444,425.0918652574857,0.9998320060520577,in,0.765
out,15.47,0.03053986202322737,319.07275018732963,0.5927166168244271,in,0.765
in,21.46,0.04444444444444444,427.3794315652972,0.9998652650699996,in,0.765
out,15.47,0.03053986202322737,319.07275018732963,0.5927166168244271,in,0.765
in,20.83,0.04444444444444444,414.44257051486824,0.9995385561683702,in,0.765
out,15.2,0.03797391393287082,314.8970592774576,0.539254182192948,in,0.765
in,21.75,0.04444444444444444,433.4694690462917,0.9999255450425587,in,0.765
out,14.92,0.0468816046923888,310.6244243047113,0.4866568176824732,out,0.765
in,22.14,0.04444444444444444,441.7965706828325,0.9999673343187137,in,0.765
out,15.35,0.03370479760136799,317.2100948401185,0.5687124184568589,in,0.765
in,21.68,0.04444444444444444,431.99156098205486,0.9999139538322196,in,0.765
out,15.38,0.03289283997341214,317.674736784618,0.5746832821839108,in,0.765
in,21.75,0.04444444444444444,433.4694690462917,0.9999255450425587,in,0.765
out,13.57,0.10419790683233272,290.823868743152,0.29900256597587965,out,0.765
in,22.1,0.04444444444444444,440.93519839760967,0.9999644048812371,in,0.765
out,14.14,0.07771034100864008,299.02530904743,0.3638371127221539,out,0.765
in,20.81,0.04444444444444444,414.0383533440793,0.9995207847041531,in,0.765
out,17.73,0.00280299111641513,356.2685872007059,0.9406742168513126,in,0.765
in,21.43,0.04444444444444444,426.75433177885674,0.9998568753697711,in,0.765
out,17.31,0.00471554680458968,349.04227122943746,0.9040775499592398,in,0.765
