distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
out,19.12,0.04444444444444444,381.2682642546262,0.20970964152004828,out,0.685
in,14.61,0.07121139913366206,305.9615965517849,0.6163575851587969,in,0.685
out,18.99,0.04444444444444444,378.85763894184936,0.2219180614571256,out,0.685
in,16.02,0.04737377974906272,327.75085262528063,0.5166269628783625,in,0.685
out,19.26,0.04444444444444444,383.8814788046129,0.19690943053848087,out,0.685
in,17.72,0.02401487308400947,356.0948055697454,0.3514063465575929,out,0.685
out,21.35,0.04444444444444444,425.0918652574857,0.06000211356442142,out,0.685
in,17.72,0.02401487308400947,356.0948055697454,0.3514063465575929,out,0.685
out,21.46,0.04444444444444444,427.3794315652972,0.05567535055377535,out,0.685
in,17.45,0.02712091903555141,351.434608665443,0.3796035778091217,out,0.685
out,20.83,0.04444444444444444,414.44257051486824,0.08412034632119285,out,0.685
in,17.17,0.03059898026019807,346.66621926522845,0.4084033355270984,out,0.685
out,21.75,0.04444444444444444,433.4694690462917,0.0454565769801728,out,0.685
in,17.6,0.02536504428447768,354.0160260646978,0.3639722639399845,out,0.685
out,22.14,0.04444444444444444,441.7965706828325,0.034188359121731335,out,0.685
in,17.63,0.02502294866066397,354.53458047835096,0.3608346942787571,out,0.685
out,21.68,0.04444444444444444,431.99156098205486,0.04777116461622571,out,0.685
in,15.82,0.05062708367403214,324.56820250031575,0.5331886684131817,in,0.685
out,21.75,0.04444444444444444,433.4694690462917,0.0454565769801728,out,0.685
in,18.64,0.01526095109972687,372.4429807215531,0.2561189472509037,out,0.685
out,22.1,0.04444444444444444,440.93519839760967,0.035224128314532116,out,0.685
in,19.98,0.00707996458656234,397.6064807018455,0.1377306630238854,out,0.685
out,20.81,0.04444444444444444,414.0383533440793,0.08517492110523497,out,0.685
in,19.56,0.00913152676579149,389.5416942878894,0.170823296457578,out,0.685
out,21.43,0.04444444444444444,426.75433177885674,0.0568299471686128,out,0.685
