category,jnds,dens,exp_condition,line_len
out_category,0.72,0.044444444444444446,centered,155
out_category,0.56,0.044444444444444446,centered,154
out_category,1.73,0.044444444444444446,centered,163
out_category,0.9400000000000001,0.044444444444444446,centered,157
out_category,4.33,0.044444444444444446,centered,185
out_category,4.1,0.044444444444444446,centered,183
out_category,3.19,0.044444444444444446,centered,175
out_category,2.85,0.044444444444444446,centered,172
out_category,6.37,0.044444444444444446,centered,205
out_category,5.08,0.044444444444444446,centered,192
out_category,5.48,0.044444444444444446,centered,196
out_category,5.77,0.044444444444444446,centered,199
out_category,8.05,0.044444444444444446,centered,222
out_category,7.06,0.044444444444444446,centered,212
out_category,6.83,0.044444444444444446,centered,209
out_category,7.7,0.044444444444444446,centered,218
out_category,9.98,0.044444444444444446,centered,244
out_category,9.97,0.044444444444444446,centered,244
out_category,10.58,0.044444444444444446,centered,251
out_category,9.59,0.044444444444444446,centered,239
out_category,12.19,0.044444444444444446,centered,272
out_category,13.05,0.044444444444444446,centered,284
out_category,11.83,0.044444444444444446,centered,267
out_category,13.01,0.044444444444444446,centered,283
out_category,13.63,0.044444444444444446,centered,292
out_category,15.530000000000001,0.044444444444444446,centered,320
out_category,14.46,0.044444444444444446,centered,304
out_category,13.94,0.044444444444444446,centered,296
out_category,17.33,0.044444444444444446,centered,349
out_category,17.72,0.044444444444444446,centered,356
out_category,17.92,0.044444444444444446,centered,360
out_category,16.91,0.044444444444444446,centered,342
out_category,18.41,0.044444444444444446,centered,368
out_category,19.91,0.044444444444444446,centered,396
out_category,18.89,0.044444444444444446,centered,377
out_category,18.42,0.044444444444444446,centered,368
out_category,22.13,0.044444444444444446,centered,442
out_category,20.85,0.044444444444444446,centered,415
out_category,22.1,0.044444444444444446,centered,441
out_category,21.09,0.044444444444444446,centered,420
