exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,attraction,trinary,l-s-ds,easy,10.25,14.25,8.25,10.25,0,short,centered,247,301,224
transfer,attraction,trinary,l-s-dl,easy,10.25,14.25,16.25,10.25,0,short,centered,247,301,331
transfer,attraction,binary,l-s,equal_2_jnd,9.25,13.25,NA,9.25,13.25,equal,centered,236,286,NA
transfer,attraction,binary,l-s,equal_2_jnd,9.25,13.25,NA,9.25,13.25,equal,centered,236,286,NA
transfer,attraction,binary,l-s,equal_1_jnd,10.25,12.25,NA,10.25,12.25,equal,centered,247,273,NA
transfer,attraction,binary,l-s,equal_1_jnd,10.25,12.25,NA,10.25,12.25,equal,centered,247,273,NA
transfer,attraction,binary,l-s,easy,8.25,12.25,NA,12.25,0,long,centered,224,273,NA
transfer,attraction,binary,l-s,easy,8.25,12.25,NA,12.25,0,long,centered,224,273,NA
transfer,attraction,binary,l-s,difficult,9.25,12.25,NA,12.25,0,long,centered,236,273,NA
transfer,attraction,binary,l-s,difficult,9.25,12.25,NA,12.25,0,long,centered,236,273,NA
transfer,attraction,binary,l-s,difficult,10.25,13.25,NA,10.25,0,short,centered,247,286,NA
transfer,attraction,binary,l-s,difficult,10.25,13.25,NA,10.25,0,short,centered,247,286,NA
transfer,attraction,binary,l-s,easy,10.25,14.25,NA,10.25,0,short,centered,247,301,NA
transfer,attraction,binary,l-s,easy,10.25,14.25,NA,10.25,0,short,centered,247,301,NA
transfer,filler,trinary,NA,NA,8.897313637584615,12.214740495546721,18,8.897313637584615,0,short,centered,232,272,361
transfer,filler,trinary,NA,NA,10.345305104835687,22.443864309461787,12,10.345305104835687,0,short,centered,248,448,269
transfer,filler,trinary,NA,NA,12.672850561937025,13.434216311434284,16,12.672850561937025,0,long,centered,278,289,327
transfer,filler,trinary,NA,NA,7.259586441660442,17.02235630946234,18,7.259586441660442,0,short,centered,214,344,361
transfer,filler,trinary,NA,NA,11.361942909958636,16.24591615400277,1,11.361942909958636,0,long,centered,261,331,158
transfer,filler,trinary,NA,NA,12.167162566676303,4.285864474950358,7,12.167162566676303,0,long,centered,272,185,211
transfer,filler,trinary,NA,NA,12.454308774276392,12.122597752022557,4,12.454308774276392,0,long,centered,275,271,182
transfer,filler,trinary,NA,NA,12.140217947418758,5.942907377611846,5,12.140217947418758,0,long,centered,271,200,191
transfer,filler,trinary,NA,NA,15.58609528635886,15.020702904439531,21,15.58609528635886,0,long,centered,321,312,418
transfer,filler,trinary,NA,NA,13.812996056050542,2.4959196138661355,11,13.812996056050542,0,long,centered,294,169,257
transfer,filler,trinary,NA,NA,12.982958076801571,20.141222843667492,2,12.982958076801571,0,long,centered,283,401,165
transfer,filler,trinary,NA,NA,9.810867203340779,0.4888625058811158,19,9.810867203340779,0,short,centered,242,154,379
transfer,filler,binary,NA,NA,8.908381653481424,2.6258213486289605,NA,8.908381653481424,0,short,centered,232,171,NA
transfer,filler,binary,NA,NA,12.429210194719555,19.694879207527265,NA,12.429210194719555,0,long,centered,275,392,NA
transfer,filler,binary,NA,NA,9.965048890455943,13.076051014359109,NA,9.965048890455943,0,short,centered,244,284,NA
transfer,filler,binary,NA,NA,11.410837720739305,5.025345634203404,NA,11.410837720739305,0,long,centered,262,192,NA
transfer,filler,binary,NA,NA,14.23978476824527,9.095668499940075,NA,14.23978476824527,0,long,centered,300,234,NA
transfer,filler,binary,NA,NA,11.11596568841289,6.259801906999201,NA,11.11596568841289,0,short,centered,258,204,NA
transfer,filler,binary,NA,NA,6.451501718212173,11.784537424100563,NA,6.451501718212173,0,short,centered,205,267,NA
transfer,filler,binary,NA,NA,10.30760504079765,10.114881485933438,NA,10.30760504079765,0,short,centered,248,246,NA
transfer,filler,binary,NA,NA,12.178297551202068,9.388482722570188,NA,12.178297551202068,0,long,centered,272,237,NA
transfer,filler,binary,NA,NA,11.845278196649002,6.012441776110791,NA,11.845278196649002,0,long,centered,267,201,NA
transfer,filler,binary,NA,NA,9.692925932172274,7.763479906716384,NA,9.692925932172274,0,short,centered,241,219,NA
transfer,filler,binary,NA,NA,13.01668875599818,14.257775298901834,NA,13.01668875599818,0,long,centered,283,301,NA
