exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,attraction,binary,l-s,easy,14,18,NA,14,0,short,right,297,361,NA
transfer,attraction,binary,l-s,easy,14,18,NA,14,0,short,right,297,361,NA
transfer,filler,trinary,NA,NA,12.647313637584615,12.214740495546721,18,12.647313637584615,0,short,right,278,272,361
transfer,filler,trinary,NA,NA,14.095305104835687,22.443864309461787,12,14.095305104835687,0,short,right,298,448,269
transfer,filler,trinary,NA,NA,16.422850561937025,13.434216311434284,16,16.422850561937025,0,long,right,334,289,327
transfer,filler,trinary,NA,NA,11.009586441660442,17.02235630946234,18,11.009586441660442,0,short,right,257,344,361
transfer,filler,trinary,NA,NA,15.111942909958636,16.24591615400277,1,15.111942909958636,0,long,right,314,331,158
transfer,filler,trinary,NA,NA,15.917162566676303,4.285864474950358,7,15.917162566676303,0,long,right,326,185,211
transfer,filler,trinary,NA,NA,16.20430877427639,12.122597752022557,4,16.20430877427639,0,long,right,331,271,182
transfer,filler,trinary,NA,NA,15.890217947418758,5.942907377611846,5,15.890217947418758,0,long,right,326,200,191
transfer,filler,trinary,NA,NA,19.336095286358862,15.020702904439531,21,19.336095286358862,0,long,right,385,312,418
transfer,filler,trinary,NA,NA,17.562996056050544,2.4959196138661355,11,17.562996056050544,0,long,right,353,169,257
transfer,filler,trinary,NA,NA,16.73295807680157,20.141222843667492,2,16.73295807680157,0,long,right,339,401,165
transfer,filler,trinary,NA,NA,13.560867203340779,0.4888625058811158,19,13.560867203340779,0,short,right,291,154,379
transfer,filler,binary,NA,NA,12.658381653481424,2.6258213486289605,NA,12.658381653481424,0,short,right,278,171,NA
transfer,filler,binary,NA,NA,16.179210194719555,19.694879207527265,NA,16.179210194719555,0,long,right,330,392,NA
transfer,filler,binary,NA,NA,13.715048890455943,13.076051014359109,NA,13.715048890455943,0,short,right,293,284,NA
transfer,filler,binary,NA,NA,15.160837720739305,5.025345634203404,NA,15.160837720739305,0,long,right,314,192,NA
transfer,filler,binary,NA,NA,17.989784768245272,9.095668499940075,NA,17.989784768245272,0,long,right,361,234,NA
transfer,filler,binary,NA,NA,14.86596568841289,6.259801906999201,NA,14.86596568841289,0,short,right,310,204,NA
transfer,filler,binary,NA,NA,10.201501718212173,11.784537424100563,NA,10.201501718212173,0,short,right,247,267,NA
transfer,filler,binary,NA,NA,14.05760504079765,10.114881485933438,NA,14.05760504079765,0,short,right,298,246,NA
transfer,filler,binary,NA,NA,15.928297551202068,9.388482722570188,NA,15.928297551202068,0,long,right,326,237,NA
transfer,filler,binary,NA,NA,15.595278196649002,6.012441776110791,NA,15.595278196649002,0,long,right,321,201,NA
transfer,filler,binary,NA,NA,13.442925932172274,7.763479906716384,NA,13.442925932172274,0,short,right,289,219,NA
transfer,filler,binary,NA,NA,16.76668875599818,14.257775298901834,NA,16.76668875599818,0,long,right,340,301,NA
